Date	1yr	2yr	3yr	4yr	5yr	8yr	10yr	15yr	20yr	25yr	30yr
2016-11-04 00:00:00.000	0.0923831284344701	0.152423711889216	0.243658735594865	0.377777128134249	0.535913933731846	0.994902667482322	1.22820164060363	1.58922274057917	1.77918916647889	1.89367137737311	1.97001600957132
2016-11-03 00:00:00.000	0.117924246258605	0.187563140480584	0.288289416624199	0.431332143489405	0.596925910406609	1.06826853855204	1.30433054305068	1.66658269628247	1.85641175276792	1.9707471808121	2.04698992125981
2016-11-02 00:00:00.000	0.114298758243159	0.17940045948821	0.275058807501782	0.413695980202622	0.576078984278761	1.04402223648772	1.28050232588155	1.64516493065776	1.83670217318925	1.95210165360828	2.02905609140095
2016-11-01 00:00:00.000	0.173445166905273	0.241958707515355	0.344638145057719	0.492003117511963	0.6620585346921	1.13951701420327	1.37485507230948	1.73205074600549	1.91817405084802	2.03019273992475	2.10488554400841
2016-10-31 00:00:00.000	0.177822771163694	0.237834463215325	0.332390399002858	0.47170812743591	0.634426318888703	1.09650401931147	1.32607700042513	1.67596070921023	1.8586188284611	1.96857703400535	2.04189732693996
2016-10-28 00:00:00.000	0.2088891302928	0.267429707853495	0.359306178033769	0.49585668256853	0.656321344305688	1.11528735123949	1.34458188788562	1.69510028779607	1.87834908961562	1.98868218868364	2.06225356251728
2016-10-27 00:00:00.000	0.204194354435039	0.259457343042779	0.351930944486512	0.489962447030301	0.650812134737411	1.10246014524313	1.32397137745532	1.65868197289236	1.83267499487121	1.93736072176933	2.00716216693676
2016-10-26 00:00:00.000	0.209259177605636	0.253368118518704	0.325942395364009	0.443156211549045	0.587401318599579	1.02040662766831	1.24449742343513	1.59371082567057	1.77797201571852	1.88904975080604	1.96312592936038
2016-10-25 00:00:00.000	0.175680056662664	0.210327785075659	0.272233253814491	0.379645321262512	0.516233585190484	0.939186928388347	1.16284740178929	1.51556306819125	1.70278279055112	1.8157403115648	1.89107654253937
2016-10-24 00:00:00.000	0.179966186207103	0.214979399979143	0.277886731216181	0.386811298958367	0.524960120596507	0.950900882316841	1.17522844851576	1.52802925710511	1.71501427302381	1.82780400956766	1.90302649516054
2016-10-21 00:00:00.000	0.178809882561204	0.204904046150745	0.266082002879386	0.374718070056268	0.512576852665969	0.937050593374078	1.16066566561841	1.51280691415878	1.69963630020473	1.81235488783467	1.88753169405087
2016-10-20 00:00:00.000	0.166644559758122	0.190547982807221	0.254440749681706	0.366925438804078	0.508319171761951	0.939202434099418	1.16466222928802	1.51855927951301	1.70604650413306	1.81914048755811	1.89456628883649
2016-10-19 00:00:00.000	0.159988148268564	0.188080664806911	0.252011676759167	0.362616660484605	0.502182497006665	0.93356819085928	1.16282513828256	1.52672684535506	1.72073502127366	1.83788236642015	1.91602030595261
2016-10-18 00:00:00.000	0.158156411900379	0.182632034420926	0.247074115858581	0.359246880319297	0.500441226913217	0.935477625915571	1.16633876572205	1.53274679013848	1.7281274682369	1.84611104510468	1.9248074790446
2016-10-17 00:00:00.000	0.148586767674352	0.178815048460734	0.251382544296419	0.372818552767207	0.522294485726249	0.96985038069235	1.20154134650114	1.56336506551975	1.75459956890776	1.86991731631956	1.94682382894973
2016-10-14 00:00:00.000	0.167358718548627	0.19220198729677	0.2555794187586	0.368006355344086	0.510497139907429	0.950005522329711	1.18243872260724	1.54979969932114	1.7451443605295	1.86304621004871	1.94168339893004
2016-10-13 00:00:00.000	0.160754151042397	0.168917383757972	0.21470362495144	0.311088754100197	0.441025585568866	0.864598944626671	1.09736750868894	1.47361878971841	1.67612183079324	1.79858580488386	1.88028436671432
2016-10-12 00:00:00.000	0.15738455287444	0.175052742913628	0.226736866817667	0.327301894201959	0.460526849029286	0.891270168047331	1.12738328603825	1.50889438127431	1.71422920170503	1.83840867825515	1.92125203177396
2016-10-11 00:00:00.000	0.150916971032977	0.157600103192657	0.200928169103065	0.294472509630594	0.42182032296072	0.841104237286672	1.07326315920968	1.45034802868591	1.65386029994092	1.77699500804898	1.85914604392996
2016-10-10 00:00:00.000	0.169864554908195	0.176379247912983	0.220960858461972	0.316927430034752	0.446806607604699	0.86972000175134	1.10130968056703	1.47439048141367	1.67474955774396	1.79586691087295	1.87666290118544
2016-10-07 00:00:00.000	0.144482692794323	0.13981286012168	0.175160486490178	0.264865978823892	0.391211511528944	0.813395719262822	1.04770252266233	1.42749739840782	1.632070114377	1.75579115172151	1.83832831580091
2016-10-06 00:00:00.000	0.112931412809658	0.0990708965579401	0.122186794724222	0.199403709751067	0.315396445421889	0.724238641168906	0.959583664114838	1.34977918156993	1.56268534189894	1.69175054941526	1.77787911968827
2016-10-05 00:00:00.000	0.100156855422817	0.0862147610163788	0.102560127151108	0.170194683156133	0.276669497098325	0.667151648888975	0.89802394340861	1.28723591130733	1.50168793865757	1.63193894394236	1.71888203185555
2016-10-04 00:00:00.000	0.102324774309004	0.0795296137662938	0.0847796402833723	0.141080355697731	0.237676181126112	0.611641442125865	0.839720958826096	1.2313067454468	1.44940020825208	1.582157127615	1.67080224929206
2016-10-03 00:00:00.000	0.0904222819447131	0.066540502217638	0.0693375022191134	0.12307081205325	0.217487101689695	0.587806188074502	0.815066175617396	1.20640229302587	1.42469292758125	1.55760852530882	1.64636332462249
2016-09-30 00:00:00.000	0.114819117451681	0.0942565964490161	0.0966249924422513	0.148368807580868	0.240714649237184	0.609109056845281	0.83816148157938	1.23628054495004	1.45969399168291	1.5959144653252	1.6868960917457
